,PostalCode,AfterTaxIncome2015,Population_2016,Bourough,Neighborhood,Latitude,Longitude
66,M2P,115237.0,7843.0,North York,York Mills West,43.752758299999996,-79.4000493
55,M5M,111821.0,25975.0,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
61,M4N,109841.0,15330.0,Central Toronto,Lawrence Park,43.7280205,-79.3887901
74,M5R,108271.0,26496.0,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
98,M8X,97210.0,10787.0,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
45,M2L,96512.0,11717.0,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999999
23,M4G,94853.0,19076.0,East York,Leaside,43.7090604,-79.3634517
12,M1C,93943.0,35626.0,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999
11,M9B,91110.0,32400.0,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001
7,M3B,90841.0,13324.0,North York,Don Mills North,43.745905799999996,-79.352188
87,M5V,89901.0,49195.0,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
35,M4J,87847.0,35738.0,East York,East Toronto,43.685347,-79.3381065
95,M1X,85949.0,15097.0,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
58,M1N,84916.0,22136.0,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
37,M6J,81956.0,32684.0,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
91,M4W,81815.0,14561.0,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
83,M4T,79518.0,10463.0,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
62,M5N,78988.0,16610.0,Central Toronto,Roselawn,43.7116948,-79.41693559999999
19,M4E,78910.0,25044.0,East Toronto,The Beaches,43.67635739999999,-79.2930312
102,M8Z,78903.0,17038.0,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000001
73,M4R,78625.0,11394.0,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
81,M6S,76142.0,34299.0,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
20,M5E,74061.0,9118.0,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
68,M5P,71896.0,19423.0,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000001
14,M4C,71040.0,46866.0,East York,Woodbine Heights,43.695343900000005,-79.3183887
86,M4V,70912.0,18241.0,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
36,M5J,70843.0,14545.0,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999999
